model,fold,regressor_count,prophet_uk_holidays,mae,rmse,mape,r2
weather + is_holiday,nov_2025,9,False,1584.8294,1975.9338,5.3715,0.8918
weather + is_holiday,feb_2026,9,False,1408.3229,1930.2116,4.7215,0.8835
weather + is_holiday,may_2026,9,False,2637.8396,3221.5063,11.9614,0.0465
weather + cal_event_count,aug_2025,9,False,2117.8849,2534.0353,10.0822,0.3593
weather + cal_event_count,nov_2025,9,False,1644.5294,2059.7355,5.5607,0.8824
weather + cal_event_count,feb_2026,9,False,1403.8809,1928.5011,4.7058,0.8837
weather + cal_event_count,may_2026,9,False,2628.1498,3223.1701,11.9433,0.0456
weather + cal_is_covid_lockdown,aug_2025,9,False,2108.7948,2523.5194,10.0539,0.3646
weather + cal_is_covid_lockdown,nov_2025,9,False,1636.7438,2047.9332,5.5344,0.8838
weather + cal_is_covid_lockdown,feb_2026,9,False,1402.2104,1926.3603,4.7003,0.884
weather + cal_is_covid_lockdown,may_2026,9,False,2616.9949,3208.2673,11.8958,0.0544
weather + cal_is_general_election,aug_2025,9,False,2117.0429,2531.3962,10.08,0.3606
weather + cal_is_general_election,nov_2025,9,False,1623.4053,2024.4688,5.4933,0.8864
weather + cal_is_general_election,feb_2026,9,False,1398.5179,1919.4846,4.6874,0.8848
weather + cal_is_general_election,may_2026,9,False,2623.0101,3213.5397,11.9263,0.0513
weather + cal_is_major_football,aug_2025,9,False,2114.5944,2528.4169,10.0726,0.3621
weather + cal_is_major_football,nov_2025,9,False,1625.098,2027.1042,5.499,0.8861
weather + cal_is_major_football,feb_2026,9,False,1397.0909,1917.1949,4.6828,0.8851
weather + cal_is_major_football,may_2026,9,False,2622.4573,3212.7424,11.9235,0.0517
weather + cal_is_non_working_day,aug_2025,9,False,2118.1946,2526.1193,10.0769,0.3633
weather + cal_is_non_working_day,nov_2025,9,False,1609.4764,2012.5823,5.466,0.8877
weather + cal_is_non_working_day,feb_2026,9,False,1408.6136,1935.977,4.7298,0.8828
weather + cal_is_non_working_day,may_2026,9,False,2630.0174,3204.6803,11.9366,0.0565
weather + econ_industrial_production_index_lag1m,aug_2025,9,False,2120.8827,2535.2107,10.0922,0.3587
weather + econ_industrial_production_index_lag1m,nov_2025,9,False,1621.3592,2020.3169,5.4855,0.8869
weather + econ_industrial_production_index_lag1m,feb_2026,9,False,1421.9608,1954.3061,4.7648,0.8806
weather + econ_industrial_production_index_lag1m,may_2026,9,False,2698.9728,3312.6496,12.2547,-0.0082
weather + econ_gdp_index_lag1m,aug_2025,9,False,2118.1047,2532.8246,10.0827,0.3599
weather + econ_gdp_index_lag1m,nov_2025,9,False,1638.4103,2051.2106,5.5462,0.8834
weather + econ_gdp_index_lag1m,feb_2026,9,False,1391.3913,1907.9381,4.6639,0.8862
weather + econ_gdp_index_lag1m,may_2026,9,False,2659.855,3261.6869,12.0842,0.0226
weather + econ_cpi_index_lag1m,aug_2025,9,False,2158.0549,2580.3872,10.2299,0.3356
weather + econ_cpi_index_lag1m,nov_2025,9,False,1608.8165,1990.6362,5.4442,0.8902
weather + econ_cpi_index_lag1m,feb_2026,9,False,1389.7627,1904.7534,4.6581,0.8865
weather + econ_cpi_index_lag1m,may_2026,9,False,2670.7599,3281.1004,12.1231,0.0109
weather + econ_unemployment_rate_lag1m,aug_2025,9,False,2127.7574,2545.4397,10.1154,0.3535
weather + econ_unemployment_rate_lag1m,nov_2025,9,False,1600.6055,1979.9814,5.4116,0.8913
weather + econ_unemployment_rate_lag1m,feb_2026,9,False,1383.555,1893.9041,4.6383,0.8878
weather + econ_unemployment_rate_lag1m,may_2026,9,False,2568.2467,3141.7001,11.6863,0.0932
